Date,Confirmed
2022-03-01,1
2022-03-02,4
2022-03-03,6
2022-03-04,9
2022-03-05,9
2022-03-06,12
2022-03-07,16
2022-03-08,19
2022-03-09,23
2022-03-10,34
2022-03-11,39
2022-03-12,40
2022-03-13,81
2022-03-14,90
2022-03-15,95
2022-03-16,103
2022-03-17,160
2022-03-18,168
2022-03-19,185
2022-03-20,209
2022-03-21,240
2022-03-22,244
2022-03-23,248
2022-03-24,277
2022-03-25,315
2022-03-26,360
2022-03-27,410
2022-03-28,506
2022-03-29,832
2022-03-30,1187
2022-03-31,1545
2022-04-01,1805
2022-04-02,2243
2022-04-03,2668
2022-04-04,2936
2022-04-05,3247
2022-04-06,3569
2022-04-07,4393
2022-04-08,5408
2022-04-09,6414
2022-04-10,7328
2022-04-11,8322
2022-04-12,9511
2022-04-13,12084
2022-04-14,15284
2022-04-15,18874
2022-04-16,22112
2022-04-17,24529
2022-04-18,32582
2022-04-19,35077
2022-04-20,37712
2022-04-21,39643
2022-04-22,42379
2022-04-23,43780
2022-04-24,46252
2022-04-25,47913
2022-04-26,49519
2022-04-27,50811
2022-04-28,56300
2022-04-29,57550
2022-04-30,58339
2022-05-01,59068
2022-05-02,59342
2022-05-03,59605
2022-05-04,59868
2022-05-05,60113
2022-05-06,60336
2022-05-07,60583
2022-05-08,60907
2022-05-09,61141
2022-05-10,61370
2022-05-11,61514
2022-05-12,61741
2022-05-13,61936
2022-05-14,62104
2022-05-15,62174
2022-05-16,62251
2022-05-17,62348
2022-05-18,62431
2022-05-19,62521
2022-05-20,62605
2022-05-21,62658
2022-05-22,62714
2022-05-23,62772
2022-05-24,62816
2022-05-25,62865
2022-05-26,62911
2022-05-27,62950
2022-05-28,62982
2022-05-29,62988
2022-05-30,63001
2022-05-31,63007
2022-06-01,63016
2022-06-02,63026
2022-06-03,63033
2022-06-04,63040
2022-06-05,63044
2022-06-06,63050
2022-06-07,63062
2022-06-08,63066
2022-06-09,63074